product_id,name,category,subcategory,brand,base_price,base_rating,image_url
1,Buck 110 Folding Hunters Knife,Fashion,[],Generic,74.38,4.0,https://picsum.photos/seed/0/400/300
2,Kids Explorer Sandals,Fashion,"['Bright Sapphire', 'Cactus', 'Night', 'Teal Shado",Generic,72.86,4.0,https://picsum.photos/seed/1/400/300
3,"Maine Wardens Day Pack, Camo",Fashion,['Mossy Oak Country'],Generic,26.73,4.0,https://picsum.photos/seed/2/400/300
4,Toddlers Animal Paws Slippers,Fashion,['Owl'],Generic,100.36,4.0,https://picsum.photos/seed/3/400/300
5,"Toddlers Baby Bogs Boots, Classic Dino",Fashion,['Dark Gray Multi'],Generic,35.17,4.0,https://picsum.photos/seed/4/400/300
6,L.L.Bean Continental Rucksack,Fashion,"['Black', 'Gunmetal', 'Khaki']",Generic,54.19,4.0,https://picsum.photos/seed/5/400/300
7,Allagash Pack Basket,Fashion,[],Generic,37.44,4.0,https://picsum.photos/seed/6/400/300
8,Mountain Classic Cordura Pack,Fashion,"['Black', 'Coal/Dark Amber', 'Coal/Graphite', 'Spr",Generic,45.14,4.0,https://picsum.photos/seed/7/400/300
9,"Toddlers Baby Bogs Boots, Classic Owls",Fashion,['Blue Multi'],Generic,115.84,4.0,https://picsum.photos/seed/8/400/300
10,Wicked Good Camp Moccasins,Fashion,"['Brown', 'Graphite', 'Graphite/Aqua Splash', 'Bla",Generic,16.08,4.0,https://picsum.photos/seed/9/400/300
12,Dragon Snow and Sand Mold,Fashion,['Green'],Generic,127.92,4.0,https://picsum.photos/seed/11/400/300
13,Pencil Case,Fashion,"['Black', 'Navy', 'Red', 'Royal']",Generic,51.35,4.0,https://picsum.photos/seed/12/400/300
14,Arches National Park Patch,Fashion,['Multi'],Generic,75.91,4.0,https://picsum.photos/seed/13/400/300
15,Womens Trail Model 4 Ventilated Hiking Shoes,Fashion,['Dark Stone/Bayleaf'],Generic,107.78,4.0,https://picsum.photos/seed/14/400/300
17,Womens Merrell Phaserbound Waterproof Hiking Boots,Fashion,['Boulder'],Generic,96.04,4.0,https://picsum.photos/seed/16/400/300
18,"Mens Bogs Bozeman Boots, Tall",Fashion,['Black'],Generic,56.62,4.0,https://picsum.photos/seed/17/400/300
19,Womens Teva Mush Mandalyn Wedge Ola Sandals,Fashion,"['Agave Black Metallic', 'Black']",Generic,26.84,4.0,https://picsum.photos/seed/18/400/300
20,Mens Cotton Poplin Field Shirt,Fashion,"['Cement', 'Dusty Olive']",Generic,94.05,4.0,https://picsum.photos/seed/19/400/300
21,Womens Monhegan Sandals,Fashion,"['Marina Teal', 'Purple Horizon']",Generic,123.29,4.0,https://picsum.photos/seed/20/400/300
23,Womens Wicked Good Clogs,Fashion,"['Brown', 'Graphite']",Generic,76.1,4.0,https://picsum.photos/seed/22/400/300
24,Womens Teva Hurricane XLT2 Sandals,Fashion,['Lago Blue'],Generic,104.36,4.0,https://picsum.photos/seed/23/400/300
25,Womens Hoka One One Hupana EM,Fashion,['Dusty Pink/Mood Indigo'],Generic,64.91,4.0,https://picsum.photos/seed/24/400/300
26,Womens OluKai Paniolo Sandals,Fashion,['Natural/Natural'],Generic,41.87,4.0,https://picsum.photos/seed/25/400/300
27,Womens Teva Sirra Sandals,Fashion,"['Black', 'Spili Grey Mist']",Generic,99.49,4.0,https://picsum.photos/seed/26/400/300
28,Myrna Sandals by Kork-Ease,Fashion,['Golden Sand'],Generic,22.04,4.0,https://picsum.photos/seed/27/400/300
29,Womens Keen Newport H2,Fashion,"['Magnet/Coral', 'Poseidon/Capri']",Generic,81.31,4.0,https://picsum.photos/seed/28/400/300
30,Womens Keen Rose Sandals,Fashion,['Gargoyle/Raven'],Generic,57.18,4.0,https://picsum.photos/seed/29/400/300
31,"Womens Getaway Sandals, Two Strap Slide",Fashion,"['Black', 'Platinum Metallic']",Generic,53.53,4.0,https://picsum.photos/seed/30/400/300
32,Womens Waterproof Keen Terradora Hiking Shoes,Fashion,"['Stormy Weather/Wrought Iron', 'Winetasting/Tulip",Generic,67.48,4.0,https://picsum.photos/seed/31/400/300
33,Zukey Suede Sandals by Kork-Ease,Fashion,"['Black', 'Natural']",Generic,44.52,4.0,https://picsum.photos/seed/32/400/300
34,Womens Waterproof Hoka One One Sky Toa,Fashion,['Black Iris/Aquamarine'],Generic,128.28,4.0,https://picsum.photos/seed/33/400/300
35,Womens Chaco for L.L.Bean Z/Cloud 2 Sandals,Fashion,['Acadia Mineral Blue'],Generic,85.47,4.0,https://picsum.photos/seed/34/400/300
36,Womens Wicked Good Deerskin-Lined Slippers. Original Venetian,Fashion,['Brown'],Generic,127.8,4.0,https://picsum.photos/seed/35/400/300
37,Womens Teva Omnium Sandals,Fashion,['Slate'],Generic,102.33,4.0,https://picsum.photos/seed/36/400/300
38,Womens Wicked Good Moccasins,Fashion,"['Black', 'Brown', 'Chocolate Brown', 'Mariner Blu",Generic,128.04,4.0,https://picsum.photos/seed/37/400/300
39,"Womens Maine Isle Flip-Flops, Print",Fashion,"['Cobalt Stained Glass', 'Dusty Green Plaid']",Generic,135.3,4.0,https://picsum.photos/seed/38/400/300
40,Nogales Sandals by Kork-Ease,Fashion,"['Black', 'Brown', 'Gold']",Generic,99.54,4.0,https://picsum.photos/seed/39/400/300
41,Womens Teva Original Universal Sandal,Fashion,"['Gc100 Boomerang', 'Sun and Moon Insignia Blue']",Generic,31.04,4.0,https://picsum.photos/seed/40/400/300
42,"Maine Isle Flip-Flops, Woven Print",Fashion,"['Blue Multi Stripe', 'Darkest Navy/White Dot', 'I",Generic,34.91,4.0,https://picsum.photos/seed/41/400/300
43,"Womens Small Batch L.L.Bean Boots, Nubuck Rubber Moc",Fashion,"['Olive Gray/Olive Gray/Reef Coral', 'Purple Sunse",Generic,33.74,4.0,https://picsum.photos/seed/42/400/300
44,Womens Keen Whisper Sandals,Fashion,"['Coffee Liqueur/Yellow', 'Grape Kiss/Grape Wine',",Generic,38.78,4.0,https://picsum.photos/seed/43/400/300
45,"Womens New Balance 608v5 Sneakers, Suede",Fashion,['Bungee/Burlap'],Generic,148.72,4.0,https://picsum.photos/seed/44/400/300
46,Womens Maine Isle Flip-Flops,Fashion,['Black'],Generic,90.49,4.0,https://picsum.photos/seed/45/400/300
47,"Womens Campside Shoes, Oxford Lace to Toe",Fashion,"['Burgundy', 'Olive Gray', 'White']",Generic,36.69,4.0,https://picsum.photos/seed/46/400/300
48,Womens Evergreen Gore-Tex® Hiking Boots,Fashion,['Deep Coffee'],Generic,109.94,4.0,https://picsum.photos/seed/47/400/300
49,Womens Back Cove Slip-Ons,Fashion,"['Classic Navy', 'Peat Moss', 'Seaside']",Generic,20.95,4.0,https://picsum.photos/seed/48/400/300
50,Womens Trail Model 4 Waterproof Hiking Shoes,Fashion,"['Dark Cement/Brown', 'Brown/Dark Pear']",Generic,74.14,4.0,https://picsum.photos/seed/49/400/300
51,"Original Maine Isle Flip-Flops, Motif",Fashion,"['Blue Mist/Classic Navy Lobstering', 'Caribbean B",Generic,20.98,4.0,https://picsum.photos/seed/50/400/300
52,Womens Boothbay Sandals,Fashion,"['Black', 'Classic Navy', 'Dark Cement']",Generic,60.66,4.0,https://picsum.photos/seed/51/400/300
53,"Womens Bean Boots by L.L.Bean®, Rubber Moc",Fashion,"['Tan/Brown', 'Tan/Navy']",Generic,122.73,4.0,https://picsum.photos/seed/52/400/300
55,Womens Getaway Sandals,Fashion,['Coffee Bean'],Generic,98.07,4.0,https://picsum.photos/seed/54/400/300
56,"Womens Gore-Tex Cresta Hiking Boots, Leather",Fashion,['Dark Brown'],Generic,125.67,4.0,https://picsum.photos/seed/55/400/300
57,"Womens Eco Comfort Leather Sandals, Two-Strap",Fashion,['Dark Cocoa'],Generic,17.12,4.0,https://picsum.photos/seed/56/400/300
58,Womens Trail Model 4 Waterproof Hiking Boots,Fashion,['Dark Cement/Brown'],Generic,143.76,4.0,https://picsum.photos/seed/57/400/300
59,Womens Rocky Coast Multisport Shoes,Fashion,['Carbon Navy'],Generic,65.94,4.0,https://picsum.photos/seed/58/400/300
60,"Womens Getaway Flip-Flop Sandals, Braided",Fashion,['Black'],Generic,38.58,4.0,https://picsum.photos/seed/59/400/300
61,"Womens Maine Isle Slide, Print",Fashion,"['Black Woodcut Swirl', 'Mountain Blue Leaf', 'Ree",Generic,78.06,4.0,https://picsum.photos/seed/60/400/300
62,"Womens Eco Comfort Slides, Perforated Nubuck",Fashion,['Dark Cement'],Generic,47.92,4.0,https://picsum.photos/seed/61/400/300
63,Womens Sport Comfort Sandals,Fashion,"['Classic Navy', 'Silver Metallic']",Generic,115.82,4.0,https://picsum.photos/seed/62/400/300
64,Thule Glide 2 Stroller,Fashion,['Black'],Generic,134.18,4.0,https://picsum.photos/seed/63/400/300
65,Thule Chariot Lite 1 Stroller,Fashion,['Bluegrass'],Generic,133.47,4.0,https://picsum.photos/seed/64/400/300
66,Yuba Flip Flop Balance Bike,Fashion,['Cow'],Generic,134.35,4.0,https://picsum.photos/seed/65/400/300
67,Discovery Infant PFD,Fashion,"['Neon Yellow/Gray', 'Red/Marine Blue']",Generic,114.94,4.0,https://picsum.photos/seed/66/400/300
68,Discovery Child PFD,Fashion,"['Neon Yellow/Gray', 'Red/Marine Blue']",Generic,139.26,4.0,https://picsum.photos/seed/67/400/300
69,"L.L.Bean Graphic Kids Stand-Up Paddleboard, 84",Fashion,"['Multi Color', 'Sea Creature']",Generic,115.81,4.0,https://picsum.photos/seed/68/400/300
70,"Kids L.L.Bean Ridge Runner Bike, 20",Fashion,['Blue'],Generic,42.47,4.0,https://picsum.photos/seed/69/400/300
71,Discovery Junior Positrack IFP Skis with Turnamic Bindings,Fashion,['Red'],Generic,138.06,4.0,https://picsum.photos/seed/70/400/300
72,Kids K2 Rink Raven Skates with Boa closure,Fashion,['Black/White'],Generic,62.36,4.0,https://picsum.photos/seed/71/400/300
73,"U.S. Divers Snorkeling Set, Youths",Fashion,"['Fun Blue', 'Fun Purple']",Generic,134.11,4.0,https://picsum.photos/seed/72/400/300
74,Kids Giro Scamp Bike Helmet,Fashion,"['Blue Floral', 'Green/Lime Lines']",Generic,62.55,4.0,https://picsum.photos/seed/73/400/300
75,"Kids L.L.Bean Ridge Runner Bike, 16",Fashion,['Orange'],Generic,148.98,4.0,https://picsum.photos/seed/74/400/300
76,Thule Urban Glide 2 Stroller,Fashion,['Black'],Generic,111.79,4.0,https://picsum.photos/seed/75/400/300
77,Womens Sweater Fleece Slipper Scuff,Fashion,"['Bright Navy', 'Gray Heather', 'Sienna Clay']",Generic,112.84,4.0,https://picsum.photos/seed/76/400/300
78,Castle Snow/Sand Mold Kit,Fashion,['Red'],Generic,124.2,4.0,https://picsum.photos/seed/77/400/300
79,L.L.Bean Kids Shorty Wet Suit,Fashion,"['Navy/Lime', 'Navy/Pink']",Generic,98.49,4.0,https://picsum.photos/seed/78/400/300
80,Womens Merrell Moab FST 2 Ventilated Hiking Shoes,Fashion,['Blue Smoke'],Generic,144.44,4.0,https://picsum.photos/seed/79/400/300
81,Womens New Balance 990v4 Running Shoes,Fashion,['Gray/Castlerock'],Generic,81.36,4.0,https://picsum.photos/seed/80/400/300
82,Womens Hoka One One Bondi 6 Running Shoes,Fashion,['Marlin/Blue Ribbon'],Generic,46.61,4.0,https://picsum.photos/seed/81/400/300
83,"Womens Mountain Slippers, Moccasin",Fashion,['Dark Cement'],Generic,71.44,4.0,https://picsum.photos/seed/82/400/300
84,"Womens Deerfield Mule Slip-Ons, Leather",Fashion,['Black'],Generic,138.55,4.0,https://picsum.photos/seed/83/400/300
85,Womens Salomon Outline Mid Gore-Tex Hiking Boots,Fashion,['Navy Blazer/Hydro'],Generic,70.1,4.0,https://picsum.photos/seed/84/400/300
86,Womens Wicked Good Moccasins,Fashion,"['Brown', 'Natural']",Generic,30.06,4.0,https://picsum.photos/seed/85/400/300
87,"Womens L.L.Bean Boundless Fitness Shoe, Ventilated",Fashion,"['Black', 'Purple Sunset']",Generic,95.01,4.0,https://picsum.photos/seed/86/400/300
88,Westport Slip-On Ankle Boots,Fashion,"['Black', 'Dark Barley']",Generic,62.97,4.0,https://picsum.photos/seed/87/400/300
89,"Womens Chelsea L.L.Bean Boots, 7 Tumbled Leather",Fashion,['Tan/Brown'],Generic,107.52,4.0,https://picsum.photos/seed/88/400/300
90,"Womens Tumbled-Leather L.L.Bean Boot, 6 Padded Collar",Fashion,['Tan/Brown'],Generic,107.51,4.0,https://picsum.photos/seed/89/400/300
91,"Womens Campside Shoe, Camp Mocs",Fashion,"['Dark Cement', 'Root Beer', 'Deep Water Blue']",Generic,48.51,4.0,https://picsum.photos/seed/90/400/300
92,"Womens Wicked Good Slipper, Cross Band Slide",Fashion,"['Khaki', 'Purple Sunset']",Generic,31.0,4.0,https://picsum.photos/seed/91/400/300
93,"Womens Katahdin Hiking Shoes, Nubuck Mesh",Fashion,['Asphalt/Lapis Stone'],Generic,126.4,4.0,https://picsum.photos/seed/92/400/300
94,"Womens New Balance 608 Cross Trainers, Leather",Fashion,['White/Light Blue'],Generic,63.86,4.0,https://picsum.photos/seed/93/400/300
95,Womens Vasque Breeze Light Gore-Tex Hiking Shoes,Fashion,['Majolica Blue/Red Clay'],Generic,55.07,4.0,https://picsum.photos/seed/94/400/300
96,"Womens Mountain Slipper Moccasins, Perforated",Fashion,['Classic Navy'],Generic,101.52,4.0,https://picsum.photos/seed/95/400/300
97,"Womens Maine Isle Flip-Flops, Woven",Fashion,['Cream'],Generic,18.34,4.0,https://picsum.photos/seed/96/400/300
98,Womens Teva Tirra Sandals,Fashion,['Bering Sea'],Generic,81.24,4.0,https://picsum.photos/seed/97/400/300
99,"Womens Comfort Mocs, Mary Jane",Fashion,"['Ink Black', 'Wood Brown']",Generic,115.14,4.0,https://picsum.photos/seed/98/400/300
100,"Womens New Balance 577 Walking Shoes, Lace-Up",Fashion,"['Black', 'White']",Generic,145.61,4.0,https://picsum.photos/seed/99/400/300
101,"Womens L.L.Bean Boots, Gumshoes",Fashion,['Tan/Brown'],Generic,74.82,4.0,https://picsum.photos/seed/100/400/300
102,"Womens Waterproof Katahdin Hiking Boots, Leather Mesh",Fashion,['Oakwood/Brown'],Generic,146.13,4.0,https://picsum.photos/seed/101/400/300
103,Womens Wicked Good Slipper Slide,Fashion,"['Brown', 'Black']",Generic,30.61,4.0,https://picsum.photos/seed/102/400/300
104,"Womens Wicked Good Slippers, One Band Slide",Fashion,['Natural'],Generic,36.35,4.0,https://picsum.photos/seed/103/400/300
105,Womens Merrell Moab 2 Ventilated Trail Shoes,Fashion,['Smoke'],Generic,116.2,4.0,https://picsum.photos/seed/104/400/300
106,"Womens Mountain Slipper Moc, One Eye Perforated",Fashion,['Purple Sunset'],Generic,19.19,4.0,https://picsum.photos/seed/105/400/300
107,Womens OluKai Ohana Sandals,Fashion,"['Black/Black', 'Mauve/Black']",Generic,61.61,4.0,https://picsum.photos/seed/106/400/300
108,"L.L.Bean Summer Sneakers, Knit Slip-On",Fashion,"['Black', 'Classic Navy', 'Twig', 'Ripe Plum']",Generic,109.9,4.0,https://picsum.photos/seed/107/400/300
109,"L.L.Bean Boots, Two-Eye Boat Gumshoes, Leather",Fashion,"['Dark Ash/Dark Ash/Brick Red', 'Tan/Bean Boot Bro",Generic,110.74,4.0,https://picsum.photos/seed/108/400/300
110,"Womens Beans Comfort Fitness Walkers, Leather Mesh",Fashion,['White'],Generic,149.98,4.0,https://picsum.photos/seed/109/400/300
111,Adults US Divers Snorkeling Set,Fashion,"['Gun Metal', 'P White']",Generic,125.93,4.0,https://picsum.photos/seed/110/400/300
112,Thule Coaster XT Bike Trailer,Fashion,['Blue'],Generic,140.04,4.0,https://picsum.photos/seed/111/400/300
113,Thule Cadence2 Bike Trailer,Fashion,['Green'],Generic,90.38,4.0,https://picsum.photos/seed/112/400/300
114,L.L.Bean 3-in-1 Portable Game Center,Fashion,['Brilliant Blue'],Generic,37.03,4.0,https://picsum.photos/seed/113/400/300
115,Folder 1 Trail-a-Bike,Fashion,['Silver'],Generic,25.18,4.0,https://picsum.photos/seed/114/400/300
116,Thule Urban Glide 2 Double Stroller,Fashion,['Black'],Generic,55.18,4.0,https://picsum.photos/seed/115/400/300
117,Womens New Balance 847v3 Walking Shoes,Fashion,['White/Gray'],Generic,40.3,4.0,https://picsum.photos/seed/116/400/300
119,"Kids L.L.Bean Ridge Runner Mountain Bike, 24",Fashion,['Blue'],Generic,147.44,4.0,https://picsum.photos/seed/118/400/300
120,Thule RideAlong Lite Bike Seat,Fashion,['Light Gray'],Generic,55.86,4.0,https://picsum.photos/seed/119/400/300
121,"Infants and Toddlers Mountain Bound Reversible Pants, Print",Fashion,['Lava Geo Fox/Nautical Navy'],Generic,83.52,4.0,https://picsum.photos/seed/120/400/300
123,"Womens New Balance 574 Walking Shoes, Patch",Fashion,"['Dark Cashmere/Light Gold', 'Reflection/Light Gol",Generic,65.32,4.0,https://picsum.photos/seed/122/400/300
124,Infants and Toddlers First Tracks Parka,Fashion,['Leafy Green'],Generic,32.36,4.0,https://picsum.photos/seed/123/400/300
125,"Infants and Toddlers Mountain Bound Reversible Jacket, Print",Fashion,['Lava Geo Fox/Nautical Navy'],Generic,53.75,4.0,https://picsum.photos/seed/124/400/300
126,Womens Ahnu Montara III eVent Hiking Boots,Fashion,['Blue Spell'],Generic,140.52,4.0,https://picsum.photos/seed/125/400/300
128,Teva Midform Universal Geometric Sandals,Fashion,"['Desert Sage', 'Tropical Peach']",Generic,138.4,4.0,https://picsum.photos/seed/127/400/300
129,Womens Oboz Sapphire Waterproof Hiking Shoes,Fashion,"['Boysenberry', 'Charcoal/Beach Glass']",Generic,55.7,4.0,https://picsum.photos/seed/128/400/300
130,"Womens Mountain Slipper Moc, One-Eye Plaid",Fashion,"['Bean Boot Brown/Brown Plaid', 'Burgundy Plaid']",Generic,128.34,4.0,https://picsum.photos/seed/129/400/300
131,Womens Keen Targhee II Waterproof Hiking Shoes,Fashion,['Magnet/Periwinkle'],Generic,96.75,4.0,https://picsum.photos/seed/130/400/300
132,Womens Brooks Launch 6 Running Shoes,Fashion,['Aster/Fig/Gold'],Generic,37.68,4.0,https://picsum.photos/seed/131/400/300
133,"Womens Signature Waxed-Canvas Maine Hunting Shoe, 10",Fashion,"['Black/Black', 'Marsh Brown/Brown']",Generic,39.62,4.0,https://picsum.photos/seed/132/400/300
134,Womens Hoka One One Clifton 5 Running Shoes,Fashion,['Black/White'],Generic,135.41,4.0,https://picsum.photos/seed/133/400/300
135,Kork-Ease Velma Ankle Boots,Fashion,"['Black', 'Grey Suede', 'Rum', 'Burgundy Suede']",Generic,137.64,4.0,https://picsum.photos/seed/134/400/300
136,Womens Oboz Sawtooth Waterproof Hiking Shoes,Fashion,['Brindle/Tradewinds Blue'],Generic,149.78,4.0,https://picsum.photos/seed/135/400/300
138,"Womens L.L.Bean Boots, 8 Thinsulate",Fashion,"['Raven Blue/Raven Blue', 'Tan/Brown']",Generic,24.36,4.0,https://picsum.photos/seed/137/400/300
140,Womens New Balance Cruz v2 Running Shoes,Fashion,"['Black/Magnet', 'Phantom/Faded Copper']",Generic,25.75,4.0,https://picsum.photos/seed/139/400/300
141,"Merrell Siren Edge Q2 Shoe, Waterproof Womens",Fashion,['Frost'],Generic,62.34,4.0,https://picsum.photos/seed/140/400/300
142,Womens OluKai Pehuea Slip-Ons,Fashion,"['Black/Black', 'Pavement/Pavement']",Generic,148.09,4.0,https://picsum.photos/seed/141/400/300
143,Womens Teva Terra Fi 4 Sandals,Fashion,['Rocio North Atlantic'],Generic,92.93,4.0,https://picsum.photos/seed/142/400/300
144,Signature Waxed Canvas Rubber Moc,Fashion,"['Burgundy/Dark Slate Gray', 'Raw Indigo/Oyster Sh",Generic,124.61,4.0,https://picsum.photos/seed/143/400/300
145,Womens Teva Ysidro Stitch Sandals,Fashion,['Black'],Generic,27.52,4.0,https://picsum.photos/seed/144/400/300
146,"Womens Westport Ankle Boots, Oiled Suede",Fashion,"['Dark Brown', 'Toasted Coconut']",Generic,69.49,4.0,https://picsum.photos/seed/145/400/300
147,Womens Brooks Ariel 18 Running Shoes,Fashion,['Grey/Pink'],Generic,140.71,4.0,https://picsum.photos/seed/146/400/300
148,Womens Alpine Waterproof Hiking Boots,Fashion,"['Dark Earth', 'Saddle']",Generic,110.03,4.0,https://picsum.photos/seed/147/400/300
149,Womens OluKai Kahiko Flip-Flops,Fashion,"['Sea/Tan', 'Sting/Tan', 'Peach/Tan']",Generic,51.41,4.0,https://picsum.photos/seed/148/400/300
150,Womens OluKai KEA Slide,Fashion,"['Black/Tan', 'Sting/Tan']",Generic,111.99,4.0,https://picsum.photos/seed/149/400/300
151,Womens Bogs Flora Booties,Fashion,"['Sage', 'Violet']",Generic,41.84,4.0,https://picsum.photos/seed/150/400/300
152,"Womens Comfort Mocs, Leather Slide",Fashion,"['Black', 'Dark Brown']",Generic,16.95,4.0,https://picsum.photos/seed/151/400/300
153,Womens New Balance Summit Queen Of Mountain Trail Running Shoes,Fashion,['Castlerock/Hi-Lite'],Generic,71.07,4.0,https://picsum.photos/seed/152/400/300
154,Womens Bogs Crandall Tall Boots,Fashion,"['Black Multi', 'Wine']",Generic,101.17,4.0,https://picsum.photos/seed/153/400/300
156,Womens Muck Wetland Boots,Fashion,['Bark'],Generic,39.77,4.0,https://picsum.photos/seed/155/400/300
157,Womens BeanSport Casual Lace-Up Shoes,Fashion,"['Black', 'Dark Cement', 'Graphite', 'Mariner Blue",Generic,19.29,4.0,https://picsum.photos/seed/156/400/300
158,Womens Merrell Moab 2 Waterproof Hiking Shoes,Fashion,['Dusty Olive'],Generic,31.55,4.0,https://picsum.photos/seed/157/400/300
159,"Coolmax Nano Glide Multisport Socks, Two-Pack",Fashion,"['Bluebell+Stainless Steel', 'Storm Teal+Stainless",Generic,28.65,4.0,https://picsum.photos/seed/158/400/300
160,"Womens Comfort Mocs®, Leather",Fashion,"['Black', 'Dark Brown']",Generic,64.75,4.0,https://picsum.photos/seed/159/400/300
161,Womens Salomon Speedcross 4 Trail Running Shoes,Fashion,['Poseidon/Eggshell Blue'],Generic,38.44,4.0,https://picsum.photos/seed/160/400/300
162,"Womens Waterproof Rangeley Pac Boots, Tall Insulated",Fashion,"['Black', 'Balsam/Hickory']",Generic,87.08,4.0,https://picsum.photos/seed/161/400/300
163,Womens Teva Arrowood 2 Knit Trail Shoes,Fashion,['Midnight Navy'],Generic,120.57,4.0,https://picsum.photos/seed/162/400/300
164,"Womens Snow Sneakers, Low Lace-Up",Fashion,"['Ash', 'Black', 'Deepwater Blue']",Generic,141.6,4.0,https://picsum.photos/seed/163/400/300
165,Womens Chaco Z/Cloud Sandals,Fashion,['Blip Teal'],Generic,100.19,4.0,https://picsum.photos/seed/164/400/300
166,Womens Salomon X Ultra Low Gore-Tex Hikers,Fashion,['Languid Lavender/Crown Blue'],Generic,58.67,4.0,https://picsum.photos/seed/165/400/300
167,Womens Merrell Siren 3 Waterproof Hiking Shoes,Fashion,['Blue Smoke'],Generic,121.89,4.0,https://picsum.photos/seed/166/400/300
168,Womens Brooks Ghost 11 Running Shoes,Fashion,['Black/Pink'],Generic,133.86,4.0,https://picsum.photos/seed/167/400/300
169,Infants and Toddlers Mountain Classic Fleece,Fashion,"['Deep Sapphire', 'Hollyberry']",Generic,147.29,4.0,https://picsum.photos/seed/168/400/300
170,Infant and Toddler Girls Sea Spray Ruffle Surf Shirt,Fashion,"['Brilliant Blue Fishies', 'Vibrant Purple Petals'",Generic,135.74,4.0,https://picsum.photos/seed/169/400/300
171,Infants and Toddlers Mountain Bound Reversible Jacket,Fashion,"['Adobe Orange/Mountain Blue', 'Bright Sapphire/Te",Generic,117.11,4.0,https://picsum.photos/seed/170/400/300
172,Infants Ultralight 650 Down Bunting,Fashion,"['Glacier Blue', 'Sheer Lilac']",Generic,111.84,4.0,https://picsum.photos/seed/171/400/300
173,"Womens L.L.Bean Boots, 8 Bison",Fashion,['Dark Brown/Brick Red'],Generic,140.28,4.0,https://picsum.photos/seed/172/400/300
174,Womens Hoka One One Challenger ATR 5 Trail Running Shoes,Fashion,['Medieval Blue/Mallard Green'],Generic,131.39,4.0,https://picsum.photos/seed/173/400/300
175,"Infants Wicked Warm Underwear, One-Piece",Fashion,"['Cobalt Sea', 'Peak Purple']",Generic,111.01,4.0,https://picsum.photos/seed/174/400/300
176,Ultraplush Snow Bunting,Fashion,"['Bright Navy', 'Dark Mulberry']",Generic,98.31,4.0,https://picsum.photos/seed/175/400/300
177,Infants Sunday Afternoons Sunsprout Hat,Fashion,"['Electric Blue', 'Vivid Magenta']",Generic,79.14,4.0,https://picsum.photos/seed/176/400/300
178,"Wicked Warm Midweight Underwear Set, Toddlers",Fashion,"['Cobalt Sea', 'Peak Purple']",Generic,149.12,4.0,https://picsum.photos/seed/177/400/300
179,Toddlers Fleece Robe,Fashion,"['Apple Red', 'Azalea', 'Blue', 'Purple Blue']",Generic,16.31,4.0,https://picsum.photos/seed/178/400/300
